               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032357,            0.011985,           0.0022045,             0.91236,             0.96646,             0.98234,             0.77058,            0.025485,           0.0048144,           0.0011146,           0.0093268,           0.0093268,           0.0093268
                  36,            0.031314,            0.011799,           0.0021818,             0.94605,             0.93735,             0.98317,             0.63677,            0.030428,           0.0053232,           0.0011889,            0.009307,            0.009307,            0.009307
                  37,            0.032576,             0.01262,           0.0024309,             0.91382,             0.94993,             0.97814,             0.69036,            0.025571,           0.0048564,           0.0010684,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030475,             0.01218,           0.0026387,             0.97615,              0.9614,             0.99062,             0.71458,            0.024161,           0.0045884,          0.00097901,           0.0092674,           0.0092674,           0.0092674
                  39,            0.032373,            0.011542,           0.0019907,             0.95998,             0.97486,             0.99102,             0.74424,             0.02307,           0.0044471,           0.0010444,           0.0092476,           0.0092476,           0.0092476
                  40,             0.03255,            0.012073,            0.001721,              0.9643,             0.94277,             0.98448,             0.68571,            0.025423,           0.0048137,           0.0012587,           0.0092278,           0.0092278,           0.0092278
                  41,            0.031396,            0.012022,            0.001661,             0.95972,             0.95744,               0.985,             0.74447,            0.024106,           0.0044775,           0.0011396,            0.009208,            0.009208,            0.009208
                  42,            0.030749,            0.011243,           0.0019507,             0.96463,              0.9675,              0.9907,              0.7521,            0.022944,           0.0043947,          0.00094063,           0.0091882,           0.0091882,           0.0091882
                  43,            0.029073,            0.011334,           0.0022656,             0.98922,             0.93731,             0.99089,              0.7691,            0.025931,           0.0042249,          0.00097271,           0.0091684,           0.0091684,           0.0091684
                  44,            0.030031,            0.012014,           0.0021676,             0.95558,             0.98131,             0.99184,             0.74303,            0.025033,           0.0042072,          0.00099125,           0.0091486,           0.0091486,           0.0091486
                  45,            0.029872,            0.011361,           0.0027128,             0.97032,             0.97462,             0.99301,             0.81225,            0.021196,           0.0039237,          0.00095891,           0.0091288,           0.0091288,           0.0091288
                  46,            0.028436,            0.012904,           0.0020689,             0.98525,             0.97782,             0.99388,              0.7544,            0.023705,           0.0041919,          0.00089778,            0.009109,            0.009109,            0.009109
